Time,CPU (Tctl/Tdie) [°C]
11:38:39.100,57.6
11:38:41.103,58.1
11:38:43.100,57.6
11:38:45.102,57.0
11:38:47.101,56.2
11:38:49.105,55.5
11:38:51.102,55.2
11:38:53.105,55.1
11:38:55.101,55.9
11:38:57.105,55.1
11:38:59.101,54.9
11:39:1.104,54.4
11:39:3.101,54.1
11:39:5.104,54.1
11:39:7.101,53.8
11:39:9.100,53.5
11:39:11.099,53.4
11:39:13.100,53.2
11:39:15.100,53.0
11:39:17.103,53.0
11:39:19.098,53.0
11:39:21.104,53.2
11:39:23.099,53.0
11:39:25.104,52.8
11:39:27.101,52.5
11:39:29.098,52.4
11:39:31.099,52.2
11:39:33.103,52.1
11:39:35.101,52.1
11:39:37.105,51.9
11:39:39.102,51.9
11:39:41.102,54.5
11:39:43.100,58.2
11:39:45.099,55.9
11:39:47.100,53.9
11:39:49.097,52.9
11:39:51.098,52.5
11:39:53.098,51.9
11:39:55.100,51.6
11:39:57.098,51.5
11:39:59.101,51.4
11:40:1.099,51.4
11:40:3.101,51.5
11:40:5.099,51.4
11:40:7.101,51.2
11:40:9.102,51.1
11:40:11.099,51.2
11:40:13.099,51.1
11:40:15.101,51.1
11:40:17.099,51.1
11:40:19.103,50.8
11:40:21.104,50.6
11:40:23.103,50.5
11:40:25.099,50.5
11:40:27.102,50.6
11:40:29.098,51.0
11:40:31.102,51.2
11:40:33.105,50.6
11:40:35.102,50.5
11:40:37.097,50.2
11:40:39.101,50.1
11:40:41.098,50.0
11:40:43.101,50.1
11:40:45.097,50.1
11:40:47.101,49.9
11:40:49.099,49.9
11:40:51.101,49.9
11:40:53.098,49.8
11:40:55.101,49.8
11:40:57.100,49.6
11:40:59.102,49.9
11:41:1.099,50.0
11:41:3.103,49.8
11:41:5.101,49.6
11:41:7.103,49.5
11:41:9.099,49.4
11:41:11.101,49.2
11:41:13.099,49.2
11:41:15.102,49.2
11:41:17.099,49.1
11:41:19.101,49.1
11:41:21.100,49.1
11:41:23.104,49.1
11:41:25.100,49.4
11:41:27.103,49.2
11:41:29.099,49.1
11:41:31.101,49.0
11:41:33.099,49.0
